id,item_id,dept_id,cat_id,store_id,state_id,d,sales,date,wm_yr_wk,event_name_1,event_type_1,event_name_2,event_type_2,sell_price
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_1,1,2011-01-29,11101,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_1,1,2011-01-29,11101,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_2,1,2011-01-30,11101,,,,,2.28
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_3,1,2011-01-31,11101,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_3,1,2011-01-31,11101,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_4,1,2011-02-01,11101,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_4,2,2011-02-01,11101,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_5,1,2011-02-02,11101,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_5,2,2011-02-02,11101,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_7,1,2011-02-04,11101,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_7,1,2011-02-04,11101,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_8,2,2011-02-05,11102,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_8,1,2011-02-05,11102,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_9,1,2011-02-06,11102,SuperBowl,Sporting,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_9,3,2011-02-06,11102,SuperBowl,Sporting,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_10,1,2011-02-07,11102,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_10,1,2011-02-07,11102,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_11,1,2011-02-08,11102,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_11,1,2011-02-08,11102,,,,,1.98
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_12,1,2011-02-09,11102,,,,,1.98
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_13,1,2011-02-10,11102,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_14,7,2011-02-11,11102,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_15,1,2011-02-12,11103,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_15,14,2011-02-12,11103,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_16,3,2011-02-13,11103,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_16,1,2011-02-13,11103,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_16,32,2011-02-13,11103,,,,,0.2
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_17,8,2011-02-14,11103,ValentinesDay,Cultural,,,0.2
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_18,5,2011-02-15,11103,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_19,1,2011-02-16,11103,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_19,1,2011-02-16,11103,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_19,4,2011-02-16,11103,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_20,1,2011-02-17,11103,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_20,1,2011-02-17,11103,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_21,14,2011-02-18,11103,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_22,1,2011-02-19,11104,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_22,20,2011-02-19,11104,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_23,2,2011-02-20,11104,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_23,7,2011-02-20,11104,,,,,0.2
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_24,3,2011-02-21,11104,PresidentsDay,National,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_25,2,2011-02-22,11104,,,,,2.28
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_26,1,2011-02-23,11104,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_26,1,2011-02-23,11104,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_27,1,2011-02-24,11104,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_27,10,2011-02-24,11104,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_28,1,2011-02-25,11104,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_28,3,2011-02-25,11104,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_29,2,2011-02-26,11105,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_29,21,2011-02-26,11105,,,,,0.2
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_30,3,2011-02-27,11105,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_31,1,2011-02-28,11105,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_31,18,2011-02-28,11105,,,,,0.2
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_32,4,2011-03-01,11105,,,,,0.2
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_33,14,2011-03-02,11105,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_34,2,2011-03-03,11105,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_34,29,2011-03-03,11105,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_35,2,2011-03-04,11105,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_35,22,2011-03-04,11105,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_36,2,2011-03-05,11106,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_36,17,2011-03-05,11106,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_37,4,2011-03-06,11106,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_37,33,2011-03-06,11106,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_38,5,2011-03-07,11106,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_38,3,2011-03-07,11106,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_39,1,2011-03-08,11106,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_39,5,2011-03-08,11106,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_40,1,2011-03-09,11106,LentStart,Religious,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_40,3,2011-03-09,11106,LentStart,Religious,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_41,3,2011-03-10,11106,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_41,6,2011-03-10,11106,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_42,1,2011-03-11,11106,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_42,1,2011-03-11,11106,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_42,2,2011-03-11,11106,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_43,4,2011-03-12,11107,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_43,13,2011-03-12,11107,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_44,1,2011-03-13,11107,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_44,2,2011-03-13,11107,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_45,17,2011-03-14,11107,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_47,1,2011-03-16,11107,LentWeek2,Religious,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_49,2,2011-03-18,11107,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_49,3,2011-03-18,11107,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_49,1,2011-03-18,11107,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_50,1,2011-03-19,11108,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_50,2,2011-03-19,11108,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_50,1,2011-03-19,11108,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_51,1,2011-03-20,11108,Purim End,Religious,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_51,2,2011-03-20,11108,Purim End,Religious,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_51,10,2011-03-20,11108,Purim End,Religious,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_52,1,2011-03-21,11108,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_52,4,2011-03-21,11108,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_54,2,2011-03-23,11108,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_54,2,2011-03-23,11108,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_54,9,2011-03-23,11108,,,,,0.2
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_55,5,2011-03-24,11108,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_57,1,2011-03-26,11109,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_57,1,2011-03-26,11109,,,,,1.98
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_58,1,2011-03-27,11109,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_59,1,2011-03-28,11109,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_60,2,2011-03-29,11109,,,,,1.98
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_61,1,2011-03-30,11109,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_63,2,2011-04-01,11109,,,,,2.28
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_64,1,2011-04-02,11110,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_64,1,2011-04-02,11110,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_65,1,2011-04-03,11110,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_65,2,2011-04-03,11110,,,,,1.98
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_66,1,2011-04-04,11110,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_67,1,2011-04-05,11110,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_67,3,2011-04-05,11110,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_68,4,2011-04-06,11110,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_68,2,2011-04-06,11110,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_68,1,2011-04-06,11110,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_69,2,2011-04-07,11110,,,,,1.98
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_70,1,2011-04-08,11110,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_71,1,2011-04-09,11111,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_71,2,2011-04-09,11111,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_71,18,2011-04-09,11111,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_72,1,2011-04-10,11111,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_72,15,2011-04-10,11111,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_73,1,2011-04-11,11111,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_73,10,2011-04-11,11111,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_74,1,2011-04-12,11111,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_74,2,2011-04-12,11111,,,,,1.98
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_75,1,2011-04-13,11111,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_75,2,2011-04-13,11111,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_75,2,2011-04-13,11111,,,,,0.2
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_76,2,2011-04-14,11111,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_76,3,2011-04-14,11111,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_78,1,2011-04-16,11112,,,,,2.28
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_78,18,2011-04-16,11112,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_79,2,2011-04-17,11112,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_79,1,2011-04-17,11112,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_79,26,2011-04-17,11112,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_80,1,2011-04-18,11112,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_80,4,2011-04-18,11112,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_80,2,2011-04-18,11112,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_81,3,2011-04-19,11112,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_81,1,2011-04-19,11112,,,,,1.98
FOODS_3_007_CA_1_validation,FOODS_3_007,FOODS_3,FOODS,CA_1,CA,d_81,6,2011-04-19,11112,,,,,0.2
FOODS_3_001_CA_1_validation,FOODS_3_001,FOODS_3,FOODS,CA_1,CA,d_82,1,2011-04-20,11112,,,,,2.28
FOODS_3_005_CA_1_validation,FOODS_3_005,FOODS_3,FOODS,CA_1,CA,d_82,1,2011-04-20,11112,,,,,1.98
